Genus,Species,Family,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Astrapogon,phenax,Apogonidae,0.01549,3.07,1,7.5,total length,3.4,10,"Tropical Atlantic",,invertivore-mobile,micro-invertivore,solitary
Pterocaesio,monikae,Caesioinidae,0.01072,3.12,1,9.8,standard length,3.3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Lutjanus,notatus,Lutjanidae,0.01445,2.98,1,25,total length,4,20.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Elacatinus,illecebrosus,Gobiidae,0.00631,3.09,1,4,total length,3.4,10,"Tropical Atlantic",,invertivore-sessile,micro-invertivore,small group
Chaetodon,andamanensis,Chaetodontidae,0.02291,3.01,1,15,total length,3.34,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Gymnosarda,unicolor,Scombridae,0.00788,3.065,1,247.98,fork length,4.5,72.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Halichoeres,pelicieri,Labridae,0.0049,3.11,1,4.9,standard length,3.2,11,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Plectroglyphidodon,phoenixensis,Pomacentridae,0.02239,2.99,1,9,total length,2,18.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Umbrina,broussonnetii,Sciaenidae,0.0231,2.99,0.8,25,total length,3.9,22,"Tropical Atlantic",,piscivore,pisci-invertivore,small group
Muraena,clepsydra,Muraenidae,0.00112,3.07,1,120,total length,4,66.78,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Narcine,brasiliensis,Narcinidae,0.0135,2.92,1,54,wing diameter,3.2,35,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Stegastes,fasciolatus,Pomacentridae,0.0028,4.063,0.884,16.5,,2,25.86,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Antennarius,indicus,Antennariidae,0.01995,3.01,1,23,total length,4.3,12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Parapercis,stricticeps,Pinguipedidae,0.00646,3.1,1,18,total length,3.5,26.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Synchiropus,rameus,Callionymidae,0.079215,2.1108,1,15,total length,3.7,22.42,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Paracirrhites,arcatus,Cirrhitidae,0.00933,3.08,1,20,total length,3.7,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Pempheris,ornata,Pempheridae,0.01585,2.99,1,7.5,standard length,3.3,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Carapus,bermudensis,Carapidae,0.001,3,1,20,total length,3.6,10,"Tropical Atlantic",,invertivore-mobile,micro-invertivore,small group
Myripristis,clarionensis,Holocentridae,0.0182,3.05,1,18.3,total length,3.4,13.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Bryx,veleronis,Syngnathidae,0.00049,3.1,1,6,standard length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,
Anacanthus,barbatus,Monocanthidae,0.00603,3.07,1,35,total length,2.8,35.81,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,
Conger,cinereus,Congridae,0.00077,3.12681,1,140,total length,4.34,71.61,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Amphiprion,pacificus,Pomacentridae,0.01122,3.04,1,4.8,standard length,2.8,12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Cymbacephalus,beauforti,Platycephalidae,0.00402,3.21054,1,50,total length,4.5,36.98,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Pomacanthus,maculosus,Pomacanthidae,0.029,3,1,50,standard length,2.67,61.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,solitary
Bodianus,thoracotaeniatus,Labridae,0.01202,3.06,1,14.8,standard length,3.4,29.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Stegastes,obreptus,Pomacentridae,0.01995,2.99,1,12,standard length,2,27.68,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Anampses,twistii,Labridae,0.01,3.06,1,18,total length,3.5,27.03,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Leptojulis,polylepis,Labridae,0.00977,3.05,1,10,total length,3.65,18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Campichthys,nanus,Syngnathidae,0.00049,3.1,1,2.5,standard length,3.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Lethrinus,obsoletus,Lethrinidae,0.016939,3.003924,1,60,total length,3.89,33.45,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Galeocerdo,cuvier,Carcharhinidae,0.00129,3.251442,1,750,total length,4.42,63.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Plectranthias,altipinnatus,Serranidae,0.01,3.04,1,4.5,standard length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Cirripectes,vanderbilti,Blenniidae,0.00741,3,1,10,standard length,2,24.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,solitary
Cirrhilabrus,adornatus,Labridae,0.0166,2.95,1,6.3,standard length,3.3,14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Pardachirus,pavoninus,Soleidae,0.00784,3.21804,1,25,total length,3.06,31.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Parupeneus,multifasciatus,Mullidae,0.01136,3.211,0.933,35,total length,3.61,21.22,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Bodianus,macrognathos,Labridae,0.01202,3.06,1,62,total length,3.6,56.56,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Ogilbia,jeffwilliamsi,Bythitidae,0.00457,3.1,1,5.6,standard length,3.2,12.01,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Lutjanus,carponotatus,Lutjanidae,0.0296,2.84,0.962464,40,total length,4.02,31.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Sargocentron,lepros,Holocentridae,0.0166,2.97,1,20,total length,4.05,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Diplogrammus,pauciradiatus,Callionymidae,0.00766,2.82,1,5,total length,3.5,10,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Arripis,truttacea,Arripidae,0.00955,3.01,1,96,standard length,4.41,47.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Selaroides,leptolepis,Carangidae,0.013839,2.993543,1,22,total length,3.84,13.43,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,large group
Serranus,socorroensis,Serranidae,0.01096,3.05,1,8,total length,3.3,12.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Plectrypops,lima,Holocentridae,0.02161,3.069,1,16,total length,3.57,12.01,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Larabicus,quadrilineatus,Labridae,0.00977,3.05,1,11.5,total length,3.34,20.59,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,solitary
Chaetodontoplus,caeruleopunctatus,Pomacanthidae,0.0302,2.89,1,20,total length,2.66,26.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,solitary
Chlorurus,capistratoides,Scaridae,0.01413,3.04,1,40,total length,2,30.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,excavator,medium group
Chromis,acares,Pomacentridae,0.01479,2.98,1,4,standard length,3,10.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Priacanthus,meeki,Priacanthidae,0.01778,2.91,1,33,total length,4.2,22.68,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Eviota,albolineata,Gobiidae,0.00617,3.08,1,3.6,total length,3.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,
Hologymnosus,rhodonotus,Labridae,0.0049,3.11,1,32,total length,3.9,35,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Ostorhinchus,angustatus,Apogonidae,0.012066,3.354236,1,11,total length,3.3,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Parupeneus,heptacanthus,Mullidae,0.009705,3.113888,1,36,total length,3.86,38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Eubleekeria,splendens,Leiognathidae,0.023679,2.891117,1,17,total length,2.94,13.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Chrysiptera,albata,Pomacentridae,0.01,3.04,1,2.8,standard length,2.9,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Abalistes,filamentosus,Balistidae,0.0257,2.94,1,32.5,standard length,3.4,41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Apolemichthys,guezei,Pomacanthidae,0.0302,2.89,1,15,total length,2.8,23.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,small group
Aspistor,quadriscutis,Ariidae,0.0164,2.93,1,50,total length,3.5,43.31,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,medium group
Lethrinus,lentjan,Lethrinidae,0.021258,2.922373,1,52,total length,3.87,24.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Nicholsina,denticulata,Scaridae,0.01096,3.08,1,32,total length,2,25.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,small group
Inimicus,didactylus,Synanceiidae,0.024155,2.847225,1,25,total length,3.98,35.16,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Halichoeres,papilionaceus,Labridae,0.01,3.08,1,12,total length,3.4,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Upeneus,francisi,Mullidae,0.00933,3.09,1,7.2,standard length,3.3,11,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Sphyraena,jello,Sphyraenidae,0.007369,3.03174,1,150,total length,4.29,75.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Oxycheilinus,bimaculatus,Labridae,0.036373,2.681524,1,15,total length,3.5,24.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Tylosurus,crocodilus,Belonidae,0.000842,3.168329,1,150,total length,4.43,69.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Paracheilinus,octotaenia,Labridae,0.00977,3.05,1,9,total length,3.4,15.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Holacanthus,clarionensis,Pomacanthidae,0.0302,2.89,1,20,total length,2.64,26.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,small group
Vanderhorstia,ambanoro,Gobiidae,0.00617,3.08,1,13,total length,3.4,24.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Engraulis,australis,Engraulidae,0.00457,3.12,1,15,standard length,3,29.45,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Pomacentrus,azuremaculatus,Pomacentridae,0.02344,2.99,1,12,total length,2.6,23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Rabaulichthys,stigmaticus,Serranidae,0.00389,3.12,1,6,total length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Scarus,xanthopleura,Scaridae,0.01445,3.04,1,54,total length,2,35.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,
Siganus,puelloides,Siganidae,0.01585,3.07,1,31,total length,2.68,19.63,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,pair
Amphiprion,thiellei,Pomacentridae,0.01122,3.04,1,9,total length,2.8,19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Lactophrys,triqueter,Ostraciidae,,,1,,,,,"Tropical Atlantic",,,,
Thalassoma,grammaticum,Labridae,0.00977,3.05,1,32,total length,3.5,35.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Amblygobius,decussatus,Gobiidae,0.00617,3.08,1,9.5,standard length,2.72,24.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,detritivore,
Gymnothorax,annasona,Muraenidae,0.00095,3.1,1,55.3,total length,3.9,48.12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Azurina,eupalama,Pomacentridae,0.01479,2.98,1,15,standard length,3.4,32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Diploprion,bifasciatum,Serranidae,0.00886,3.2775,1,25,total length,3.98,29.29,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Dascyllus,auripinnis,Pomacentridae,0.02239,2.99,1,11.52,standard length,3,26.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pseudanthias,taira,Serranidae,0.00933,2.97,1,10,total length,3.3,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Choerodon,oligacanthus,Labridae,0.01259,3.05,1,28.2,standard length,3.4,42.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Chaetodon,collare,Chaetodontidae,0.02291,3.01,1,18,total length,3.42,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Scolopsis,affinis,Nemipteridae,0.0182,2.98,1,24,total length,3.28,23.82,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Sphyraena,qenie,Sphyraenidae,0.00708,2.93,1,170,total length,4.5,76.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,large group
Etropus,crossotus,Paralichthyidae,0.006528,3.21245,1,20,total length,3.49,10,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Gobioclinus,kalisherae,Labrisomidae,,,1,,,,,"Tropical Atlantic",,,,
Pygoplites,diacanthus,Pomacanthidae,0.0302,2.89,1,25,standard length,2.69,37.68,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,solitary
Calamus,calamus,Sparidae,0.0429,2.801,0.946,56,total length,3.5,56,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,small group
Cephalopholis,miniata,Serranidae,0.017727,2.995795,1,50,total length,4.29,62.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Histrio,histrio,Antennariidae,0.01995,3.01,1,20,total length,3.93,10,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Conodon,nobilis,Haemulidae,0.012636,3.116907,1,33.6,total length,3.6,33.2,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,small group
Epinephelus,morrhua,Serranidae,0.050145,2.726662,1,90,total length,3.97,42.81,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Variola,louti,Serranidae,0.01107,3.076899,1,83,total length,4,32.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Synodus,variegatus,Synodontidae,0.00262,3.431,1,40,total length,4.5,29.57,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,pair
Halichoeres,dispilus,Labridae,0.01,3.08,1,25,total length,3.85,31.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Antennarius,biocellatus,Antennariidae,0.01995,3.01,1,14,standard length,4.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Scarus,globiceps,Scaridae,0.0162,3.09,1,45,total length,2,32.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,
Parequula,melbournensis,Gerreidae,0.01413,3.02,1,22,total length,2.77,17.57,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Acanthaluteres,vittiger,Monocanthidae,0.02188,2.91,1,35,total length,2,36.45,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Scorpaenodes,scaber,Scorpaenidae,0.0245,2.96021,1,12,total length,3.6,27.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Halichoeres,vrolikii,Labridae,0.01,3.08,1,13,total length,3.4,22.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pseudocheilinus,hexataenia,Labridae,0.01622,2.96,1,10,total length,3.15,17.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Rhabdosargus,sarba,Sparidae,0.020087,2.941481,1,80,total length,3.25,36.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,macro-invertivore,small group
Centropyge,nahackyi,Pomacanthidae,0.0302,2.89,1,9,total length,2.8,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Ctenochaetus,binotatus,Acanthuridae,0.050728,2.744453,1,22,total length,2,22.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,detritivore,small group
Ostorhinchus,dispar,Apogonidae,0.00646,3.19,1,5,standard length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Ellochelon,vaigiensis,Mugilidae,0.01023,3.03,1,63,total length,2.18,54.09,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Scarus,ovifrons,Scaridae,0.01445,3.04,1,78,total length,2,49.11,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,small group
Arothron,stellatus,Tetraodontidae,0.093047,2.668335,1,120,total length,3.65,61.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Dinolestes,lewini,Dinolestidae,0.00389,3.12,1,84,total length,3.7,50.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,large group
Epinephelus,malabaricus,Serranidae,0.01696,3.048778,1,234,total length,4.16,40.44,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Plectranthias,nazcae,Serranidae,0.01,3.04,1,15,standard length,4.1,25.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Acanthurus,lineatus,Acanthuridae,0.016755,2.969606,1,38,total length,2,22.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,solitary
Halichoeres,melasmapomus,Labridae,0.01,3.08,1,24,total length,3.5,31.13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Halichoeres,caudalis,Labridae,0.0049,3.11,1,20,total length,3.5,29,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Enneanectes,atrorus,Tripterygiidae,0.005,3.08,1,3.3,total length,2.8,10,"Tropical Atlantic",,herbivore-detritivore,detritivore,small group
Pseudojuloides,elongatus,Labridae,0.0049,3.06,1,14,total length,3.4,24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Scarus,flavipectoralis,Scaridae,0.01995,3.01,1,40,total length,2,30.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,
Valenciennea,sexguttata,Gobiidae,0.00891,3.07,1,14,total length,3.2,25.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Parapercis,australis,Pinguipedidae,0.00646,3.1,1,9.2,standard length,3.4,20.13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Cirripectes,stigmaticus,Blenniidae,0.0195,2.93725,1,10,standard length,2,24.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Mulloidichthys,flavolineatus,Mullidae,0.022711,2.921851,1,43,total length,3.47,38.87,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Abudefduf,troschelii,Pomacentridae,0.02455,3.01,1,20,total length,2.95,30.38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,small group
Pterocaesio,lativittata,Caesioinidae,0.01072,3.12,1,23,total length,3.4,18.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Myliobatis,freminvillei,Myliobatidae,0.00389,3.09,1,100,wing diameter,3.4,59.79,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,medium group
Xanthichthys,mento,Balistidae,0.0257,2.94,1,30,,4,34.44,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Pseudalutarius,nasicornis,Monocanthidae,0.0144,2.978,1,19,total length,3.5,26.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,pair
Trachinotus,carolinus,Carangidae,0.02602,2.72,1,64,total length,3.85,37.04,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,medium group
Albula,vulpes,Albulidae,0.010031,3.054419,1,104,total length,3.66,42.66,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,small group
Cheilinus,oxycephalus,Labridae,0.0166,2.95,1,17,total length,3.4,25.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Pomacanthus,navarchus,Pomacanthidae,0.0309,2.9,1,28,total length,2.66,31.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,solitary
Naso,tonganus,Acanthuridae,0.05795,2.806,0.918274,60,standard length,2,50.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,medium group
Chaetodontoplus,dimidiatus,Pomacanthidae,0.0302,2.89,1,22,total length,2.69,28.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Balistoides,viridescens,Balistidae,0.02442,3.01828,1,75,total length,3.33,54.36,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Ostorhinchus,ishigakiensis,Apogonidae,0.01288,3.1,1,6,total length,3.36,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pseudojuloides,atavai,Labridae,0.01,3.06,1,13,total length,3.4,22.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Halichoeres,maculipinna,Labridae,0.00276,2.943,1,18,total length,3.5,27.47,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Acyrtops,beryllinus,Gobiesocidae,0.0055,3.11,1,2.5,total length,3.33,10,"Tropical Atlantic",,invertivore-mobile,micro-invertivore,solitary
Carangoides,gymnostethus,Carangidae,0.03372,2.776081,1,90,total length,4.12,45.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Bulbonaricus,brauni,Syngnathidae,0.00049,3.1,1,5.5,standard length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Iniistius,celebicus,Labridae,0.01122,3.04,1,16.1,standard length,3.5,30,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Halichoeres,melanurus,Labridae,0.00931,3.2615,1,12,total length,2.9,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
