Genus,Species,Family,Species_name,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Stegastes,beebei,Pomacentridae,Stegastes beebei,0.01995,2.99,1,15,standard length,2.95,20.44,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,
Gobioclinus,filamentosus,Labrisomidae,Gobioclinus filamentosus,0.0049,3.08,1,12,total length,3.9,10,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Osteomugil,engeli,Mugilidae,Osteomugil engeli,0.006546,3.197373,1,30,total length,2.2,33,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,detritivore,large group
Cantheschenia,grandisquamis,Monocanthidae,Cantheschenia grandisquamis,0.02188,2.91,1,26,total length,2.8,31.34,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Pervagor,spilosoma,Monocanthidae,Pervagor spilosoma,0.02188,2.91,1,18,total length,2.76,25.42,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,
Sargocentron,microstoma,Holocentridae,Sargocentron microstoma,0.0166,2.97,1,20,total length,3.61,13.87,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Suezichthys,notatus,Labridae,Suezichthys notatus,0.00447,3.14,1,14.2,standard length,3.6,28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Antennarius,hispidus,Antennariidae,Antennarius hispidus,0.01995,3.01,1,20,total length,4.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Canthigaster,jactator,Tetraodontidae,Canthigaster jactator,0.02818,2.094,1,9,total length,2.8,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,solitary
Idiotropiscis,australe,Syngnathidae,Idiotropiscis australe,0.00049,3.1,1,5.5,total length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Emblemaria,pandionis,Chaenopsidae,Emblemaria pandionis,0.00457,3.08,1,6,standard length,3.4,10,Tropical Atlantic,,planktivore,planktivore,solitary
Zebrasoma,velifer,Acanthuridae,Zebrasoma velifer,0.034107,2.861415,1,40,standard length,2,36.94,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Bodianus,trilineatus,Labridae,Bodianus trilineatus,0.01202,3.06,1,28,total length,3.5,33.42,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pervagor,janthinosoma,Monocanthidae,Pervagor janthinosoma,0.025,2.946,1,13,standard length,2.9,25.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,pair
Calotomus,viridescens,Scaridae,Calotomus viridescens,0.01995,3.01,1,21,standard length,2,23.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Pomacentrus,nagasakiensis,Pomacentridae,Pomacentrus nagasakiensis,0.01479,2.98,1,11,total length,2.74,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Kryptolebias,marmoratus,Rivulidae,Kryptolebias marmoratus,0.00479,3.14,1,7.5,total length,3.2,10,Tropical Atlantic,,invertivore-mobile,micro-invertivore,solitary
Gymnocranius,frenatus,Lethrinidae,Gymnocranius frenatus,0.0304,2.95,0.913242,35,total length,3.37,31.84,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Scarus,zufar,Scaridae,Scarus zufar,0.01445,3.04,1,50,total length,2,34.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,small group
Labroides,dimidiatus,Labridae,Labroides dimidiatus,0.006669,3.172365,1,14,total length,3.85,23.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Halichoeres,binotopsis,Labridae,Halichoeres binotopsis,0.01,3.08,1,8.9,standard length,3.4,20,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Apogon,retrosella,Apogonidae,Apogon retrosella,0.00977,3.192,1,10,total length,3.5,11.03,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Halichoeres,claudia,Labridae,Halichoeres claudia,0.0049,3.11,1,8.8,standard length,3.4,20,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Canthigaster,tyleri,Tetraodontidae,Canthigaster tyleri,0.02818,2.094,1,9,total length,2.82,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,small group
Hypoplectrodes,nigroruber,Serranidae,Hypoplectrodes nigroruber,0.00933,2.97,1,30,total length,3.97,32.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Scarus,persicus,Scaridae,Scarus persicus,0.01445,3.04,1,50,total length,2,34.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,small group
Orthopristis,ruber,Haemulidae,Orthopristis ruber,0.01221,3.048413,1,40,total length,3.6,32.67,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Plectranthias,nanus,Serranidae,Plectranthias nanus,0.00933,2.97,1,3.98,standard length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Pomacanthus,paru,Pomacanthidae,Pomacanthus paru,0.0203,3.126,1,41.1,total length,2.8,38.5,Tropical Atlantic,,invertivore-sessile,spongivore,pair
Pseudochromis,steenei,Pseudochromidae,Pseudochromis steenei,0.00501,3.1,1,12,total length,3.1,22,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,solitary
Ecsenius,stictus,Blenniidae,Ecsenius stictus,0.00741,3,1,5.8,total length,2,12.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,
Heteroscarus,acroptilus,Odacidae,Heteroscarus acroptilus,0.00692,3.08,1,24,standard length,2.62,25.4,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,detritivore,
Cheilodactylus,ephippium,Cheilodactylidae,Cheilodactylus ephippium,0.0123,3.02,1,20,total length,3.5,28.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Plectroglyphidodon,sindonis,Pomacentridae,Plectroglyphidodon sindonis,0.02239,2.99,1,10,standard length,2.76,24.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,detritivore,
Epinephelus,morio,Serranidae,Epinephelus morio,0.008438,2.983459,1,125,total length,3.63,62.59,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Siganus,lineatus,Siganidae,Siganus lineatus,0.021039,2.972625,1,43,total length,2,25.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,medium group
Cirrhilabrus,rubripinnis,Labridae,Cirrhilabrus rubripinnis,0.0166,2.95,1,9.1,total length,3.1,16,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Onigocia,spinosa,Platycephalidae,Onigocia spinosa,0.0396,2.418,1,25,total length,3.7,25.3,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Brotula,barbata,Ophidiidae,Brotula barbata,0.00732,2.76,1,94,total length,3.9,52.44,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Pempheris,compressa,Pempheridae,Pempheris compressa,0.01585,2.99,1,20,total length,3.5,26.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Chaetodon,miliaris,Chaetodontidae,Chaetodon miliaris,0.042,3,0.836,13,standard length,3.4,12.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Chaetodermis,penicilligerus,Monocanthidae,Chaetodermis penicilligerus,0.02188,2.91,1,31,total length,2.8,34.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Halichoeres,insularis,Labridae,Halichoeres insularis,0.0049,3.11,1,7,total length,3.3,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Meiacanthus,atrodorsalis,Blenniidae,Meiacanthus atrodorsalis,0.00537,3.05,1,11,total length,3.45,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Pseudocoris,yamashiroi,Labridae,Pseudocoris yamashiroi,0.0049,3.11,1,16,total length,3.4,24.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Chlorurus,genazonatus,Scaridae,Chlorurus genazonatus,0.01413,3.04,1,31,total length,2,25.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,excavator,small group
Platax,pinnatus,Ephippidae,Platax pinnatus,0.02455,2.96,1,45,total length,3.3,33.99,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,
Carangoides,hedlandensis,Carangidae,Carangoides hedlandensis,0.027685,2.85158,1,32,total length,4,15.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Chromis,scotochiloptera,Pomacentridae,Chromis scotochiloptera,0.01778,2.99,1,16,total length,3.4,27.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Scolopsis,margaritifera,Nemipteridae,Scolopsis margaritifera,0.0333,2.966,0.799,28,total length,3.6,25.7,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pseudomonacanthus,peroni,Monocanthidae,Pseudomonacanthus peroni,0.02188,2.91,1,35,standard length,2.8,46.73,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,small group
Pseudanthias,ventralis ventralis,Serranidae,Pseudanthias ventralis ventralis,0.00933,2.97,1,7,total length,3.3,10.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Meiacanthus,grammistes,Blenniidae,Meiacanthus grammistes,0.00537,3.05,1,11,total length,3.4,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,solitary
Cymolutes,torquatus,Labridae,Cymolutes torquatus,0.00389,3.12,1,20,total length,3.6,29,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Gramma,melacara,Grammatidae,Gramma melacara,0.00389,3.12,1,10,total length,3.5,10,Tropical Atlantic,,invertivore-mobile,micro-invertivore,solitary
Cirrhilabrus,rhomboidalis,Labridae,Cirrhilabrus rhomboidalis,0.0166,2.95,1,8.5,total length,3.4,15,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Pseudocoris,heteroptera,Labridae,Pseudocoris heteroptera,0.0049,3.11,1,20,total length,3.4,28.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Malacoctenus,tetranemus,Labrisomidae,Malacoctenus tetranemus,0.00955,3.04,1,7.5,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Ostorhinchus,fleurieu,Apogonidae,Ostorhinchus fleurieu,0.01288,3.1,1,12.5,standard length,3.6,15.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pomacentrus,atriaxillaris,Pomacentridae,Pomacentrus atriaxillaris,0.01,3.04,1,,,2.7,21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Lutjanus,purpureus,Lutjanidae,Lutjanus purpureus,0.0098,3.09,1,100,total length,3.6,60,Tropical Atlantic,,piscivore,macro-invertivore,small group
Amphiprion,nigripes,Pomacentridae,Amphiprion nigripes,0.01122,3.04,1,11,total length,2.68,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Amphiprion,bicinctus,Pomacentridae,Amphiprion bicinctus,0.02291,2.99,1,14,total length,2.68,25.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Lutjanus,mahogoni,Lutjanidae,Lutjanus mahogoni,0.05874,2.57,1,48,total length,4.33,64.99,Tropical Atlantic,,piscivore,pisci-invertivore,large group
Epinephelus,adscensionis,Serranidae,Epinephelus adscensionis,0.0153,2.73,1,61,total length,3.75,53.54,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Upeneus,oligospilus,Mullidae,Upeneus oligospilus,0.00933,3.09,1,17,standard length,3.5,23.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Chaetodon,lunula,Chaetodontidae,Chaetodon lunula,0.02291,3.01,1,20,total length,2.99,15.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Pareques,perissa,Sciaenidae,Pareques perissa,0.00537,3.09,1,30,total length,3.5,24.56,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Novaculoides,macrolepidotus,Labridae,Novaculoides macrolepidotus,0.013,2.91,1,16,total length,3.39,24.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Chromis,limbaughi,Pomacentridae,Chromis limbaughi,0.0159,3.042,1,11.3,total length,3.4,22.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Scarus,psittacus,Scaridae,Scarus psittacus,0.022858,2.96259,1,34,total length,2,17.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,medium group
Myripristis,earlei,Holocentridae,Myripristis earlei,0.0182,3.05,1,24,standard length,3.5,23.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Scolopsis,bilineata,Nemipteridae,Scolopsis bilineata,0.014234,3.161414,0.93,25,total length,3.62,24.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Halichoeres,bathyphilus,Labridae,Halichoeres bathyphilus,0.0049,3.11,1,23,total length,3.5,31,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Amblyglyphidodon,batunai,Pomacentridae,Amblyglyphidodon batunai,0.02239,2.99,1,10,total length,2.7,20.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Acanthurus,xanthopterus,Acanthuridae,Acanthurus xanthopterus,0.026812,2.892373,1,70,total length,2.87,37.08,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,medium group
Anisotremus,davidsonii,Haemulidae,Anisotremus davidsonii,0.01622,3.03,1,58,total length,3.54,34.63,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Scorpaena,albifimbria,Scorpaenidae,Scorpaena albifimbria,0.01202,3.02,1,12,total length,3.6,28,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Acreichthys,radiatus,Monocanthidae,Acreichthys radiatus,0.02188,2.91,1,7,total length,2.9,12.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,
Halichoeres,timorensis,Labridae,Halichoeres timorensis,0.01,3.08,1,12,total length,3.4,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Scolopsis,ciliata,Nemipteridae,Scolopsis ciliata,0.0641,2.48,1,25,total length,3.66,24.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Chrysiptera,springeri,Pomacentridae,Chrysiptera springeri,0.02239,2.99,1,5.5,total length,2.68,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,medium group
Dicotylichthys,punctulatus,Diodontidae,Dicotylichthys punctulatus,0.0309,2.89,1,40,standard length,3.5,38.8,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Suezichthys,russelli,Labridae,Suezichthys russelli,0.00447,3.14,1,7.5,total length,3.3,13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Chlorurus,strongylocephalus,Scaridae,Chlorurus strongylocephalus,0.021734,3.012728,1,70,total length,2.68,39.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,excavator,small group
Aluterus,monoceros,Monocanthidae,Aluterus monoceros,0.015912,2.916651,1,76.2,total length,3.49,47.86,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,detritivore,small group
Pterocaesio,tessellata,Caesioinidae,Pterocaesio tessellata,0.0112,3.297,0.823045,25,total length,3.4,20.25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Calotomus,spinidens,Scaridae,Calotomus spinidens,0.012274,3.192888,1,30,total length,2,17.65,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Dischistodus,prosopotaenia,Pomacentridae,Dischistodus prosopotaenia,0.01479,2.98,1,18.5,total length,2.7,29.33,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Halichoeres,signifer,Labridae,Halichoeres signifer,0.0049,3.11,1,8.2,standard length,3.4,18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Acanthistius,paxtoni,Serranidae,Acanthistius paxtoni,0.01,3.04,1,,,4.1,49.32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Gymnocranius,microdon,Lethrinidae,Gymnocranius microdon,0.01778,2.97,1,45,total length,3.39,35.94,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Rainfordia,opercularis,Serranidae,Rainfordia opercularis,0.00389,3.12,1,15,total length,3.5,21.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Parachaetodon,ocellatus,Chaetodontidae,Parachaetodon ocellatus,0.02188,3.02,1,18,total length,2.76,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Chromis,weberi,Pomacentridae,Chromis weberi,0.01778,2.99,1,13.5,total length,3.4,24.75,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Bodianus,tanyokidus,Labridae,Bodianus tanyokidus,0.00389,3.12,1,17.7,standard length,3.4,32.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Cheilinus,trilobatus,Labridae,Cheilinus trilobatus,0.019476,2.999946,1,45,total length,3.92,42.75,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Parupeneus,porphyreus,Mullidae,Parupeneus porphyreus,0.131,3.153,0.933,51,total length,3.98,26.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Neopomacentrus,metallicus,Pomacentridae,Neopomacentrus metallicus,0.01479,2.98,1,6,standard length,3.4,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Dendrochirus,brachypterus,Scorpaenidae,Dendrochirus brachypterus,0.011268,3.2692,1,17,total length,3.5,32.38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Istiophorus,platypterus,Istiophoridae,Istiophorus platypterus,0.00585,2.99,1,348,fork length,4.5,40.65,Tropical Atlantic,,piscivore,piscivore,solitary
Chelmon,muelleri,Chaetodontidae,Chelmon muelleri,0.02188,3.02,1,20.5,total length,3.5,15.17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Upeneus,moluccensis,Mullidae,Upeneus moluccensis,0.006476,3.283567,1,22,total length,3.6,21.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Opistognathus,macrognathus,Opistognathidae,Opistognathus macrognathus,0.00389,3.12,1,20,total length,3.6,10,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Chromis,abrupta,Pomacentridae,Chromis abrupta,0.01778,2.99,1,5.4,standard length,3,13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Thalassoma,bifasciatum,Labridae,Thalassoma bifasciatum,0.0107,2.916,1,25,total length,3.49,19.56,Tropical Atlantic,,planktivore,planktivore,large group
Sphyraena,obtusata,Sphyraenidae,Sphyraena obtusata,0.006759,2.976036,1,55,total length,4.5,25.15,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,large group
Diplodus,argenteus caudimacula,Sparidae,Diplodus argenteus caudimacula,0.01259,3.04,1,30,total length,3,40.33,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Caprodon,longimanus,Serranidae,Caprodon longimanus,0.00933,2.97,1,55,fork length,3.92,34.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,
Anisotremus,taeniatus,Haemulidae,Anisotremus taeniatus,0.01622,3.03,1,31,total length,4.2,31.86,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Elacatinus,xanthiprora,Gobiidae,Elacatinus xanthiprora,0.00871,3.09,1,4,total length,3.4,10,Tropical Atlantic,,invertivore-sessile,micro-invertivore,small group
Haemulon,album,Haemulidae,Haemulon album,0.0151,3.06,0.87,79,total length,3.3,45,Tropical Atlantic,,invertivore-mobile,macro-invertivore,large group
Peprilus,paru,Stromateidae,Peprilus paru,0.045627,2.691732,1,30,total length,3.87,20.48,Tropical Atlantic,,piscivore,pisci-invertivore,large group
Haemulon,chrysargyreum,Haemulidae,Haemulon chrysargyreum,0.0106,3.0474,1,23,total length,3.53,26.78,Tropical Atlantic,,planktivore,planktivore,large group
Serranus,flaviventris,Serranidae,Serranus flaviventris,0.0085,3.43,1,8,total length,3.3,12,Tropical Atlantic,,planktivore,planktivore,small group
Pseudochromis,pesi,Pseudochromidae,Pseudochromis pesi,0.00501,3.11,1,10,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Labracinus,lineatus,Pseudochromidae,Labracinus lineatus,0.01995,3.01,1,25,total length,4,13.16,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Novaculichthys,taeniourus,Labridae,Novaculichthys taeniourus,0.0378,2.889,0.821,30,total length,3.25,34.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Odontanthias,rhodopeplus,Serranidae,Odontanthias rhodopeplus,0.00933,2.97,1,16,standard length,3.4,26.5,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,planktivore,medium group
Cirripectes,castaneus,Blenniidae,Cirripectes castaneus,0.00741,3,1,9.2,standard length,2,23.74,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Genicanthus,lamarck,Pomacanthidae,Genicanthus lamarck,0.0302,2.89,1,25,total length,3.4,30.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pseudochromis,perspicillatus,Pseudochromidae,Pseudochromis perspicillatus,0.00501,3.11,1,12,total length,3.6,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Cheilinus,fasciatus,Labridae,Cheilinus fasciatus,0.01995,3,1,40,standard length,3.37,52.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Pentapodus,bifasciatus,Nemipteridae,Pentapodus bifasciatus,0.01514,2.97,1,20,total length,3.56,20.9,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Odontanthias,unimaculatus,Serranidae,Odontanthias unimaculatus,0.00933,2.97,1,20,standard length,3.4,31.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,planktivore,medium group
Ostorhinchus,doederleini,Apogonidae,Ostorhinchus doederleini,0.008654,3.375599,1,14,total length,3.57,15.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Apeltes,quadracus,Gasterosteidae,Apeltes quadracus,0.01047,3.07,1,6.4,total length,3.23,16.15,Tropical Atlantic,,invertivore-mobile,micro-invertivore,small group
Bulbonaricus,brucei,Syngnathidae,Bulbonaricus brucei,0.00049,3.1,1,4.5,standard length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Halichoeres,rubricephalus,Labridae,Halichoeres rubricephalus,0.01,3.08,1,10,total length,3.4,18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pseudogramma,astigma,Serranidae,Pseudogramma astigma,0.00407,3.14,1,7.4,standard length,3.6,13.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Halichoeres,nebulosus,Labridae,Halichoeres nebulosus,0.01,3.08,1,12,total length,3.34,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Ogilbyina,queenslandiae,Pseudochromidae,Ogilbyina queenslandiae,0.01148,3.01,1,15,total length,3.01,25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,solitary
